--- GIROS GRATIS (Sin Wilds, con Scatter JP) ---
Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
0;5 - High 1;2 - Low 2;2 - Low 2;8 - High 4;3 - Low 3
1;6 - High 2;7 - High 3;3 - Low 3;2 - Low 2;1 - Low 1
2;1 - Low 1;2 - Low 2;3 - Low 3;5 - High 1;2 - Low 2
3;1 - Low 1;2 - Low 2;11 - SCATTER JP (FS);6 - High 2;3 - Low 3
4;6 - High 2;1 - Low 1;6 - High 2;2 - Low 2;8 - High 4
5;2 - Low 2;2 - Low 2;4 - Low 4;6 - High 2;1 - Low 1
6;7 - High 3;4 - Low 4;1 - Low 1;4 - Low 4;6 - High 2
7;1 - Low 1;4 - Low 4;6 - High 2;6 - High 2;6 - High 2
8;7 - High 3;8 - High 4;3 - Low 3;11 - SCATTER JP (FS);7 - High 3
9;3 - Low 3;7 - High 3;4 - Low 4;6 - High 2;7 - High 3
10;11 - SCATTER JP (FS);6 - High 2;8 - High 4;6 - High 2;4 - Low 4
11;1 - Low 1;2 - Low 2;2 - Low 2;6 - High 2;5 - High 1
12;4 - Low 4;6 - High 2;2 - Low 2;1 - Low 1;4 - Low 4
13;5 - High 1;3 - Low 3;5 - High 1;2 - Low 2;3 - Low 3
14;7 - High 3;4 - Low 4;5 - High 1;5 - High 1;4 - Low 4
15;3 - Low 3;11 - SCATTER JP (FS);5 - High 1;7 - High 3;2 - Low 2
16;1 - Low 1;1 - Low 1;7 - High 3;7 - High 3;2 - Low 2
17;5 - High 1;8 - High 4;7 - High 3;8 - High 4;4 - Low 4
18;4 - Low 4;7 - High 3;7 - High 3;1 - Low 1;5 - High 1
19;4 - Low 4;5 - High 1;2 - Low 2;1 - Low 1;8 - High 4
20;1 - Low 1;5 - High 1;2 - Low 2;4 - Low 4;6 - High 2
21;2 - Low 2;2 - Low 2;3 - Low 3;3 - Low 3;1 - Low 1
22;2 - Low 2;6 - High 2;3 - Low 3;4 - Low 4;6 - High 2
23;5 - High 1;4 - Low 4;6 - High 2;5 - High 1;3 - Low 3
24;2 - Low 2;3 - Low 3;6 - High 2;2 - Low 2;3 - Low 3
25;1 - Low 1;5 - High 1;11 - SCATTER JP (FS);5 - High 1;1 - Low 1
26;5 - High 1;4 - Low 4;1 - Low 1;3 - Low 3;5 - High 1
27;3 - Low 3;3 - Low 3;2 - Low 2;4 - Low 4;11 - SCATTER JP (FS)
28;4 - Low 4;5 - High 1;6 - High 2;6 - High 2;8 - High 4
29;6 - High 2;11 - SCATTER JP (FS);1 - Low 1;3 - Low 3;1 - Low 1
30;4 - Low 4;6 - High 2;2 - Low 2;4 - Low 4;3 - Low 3
31;7 - High 3;2 - Low 2;7 - High 3;6 - High 2;3 - Low 3
32;1 - Low 1;3 - Low 3;7 - High 3;7 - High 3;3 - Low 3
33;5 - High 1;2 - Low 2;4 - Low 4;4 - Low 4;6 - High 2
34;7 - High 3;1 - Low 1;3 - Low 3;4 - Low 4;2 - Low 2
35;8 - High 4;5 - High 1;2 - Low 2;7 - High 3;6 - High 2
36;3 - Low 3;4 - Low 4;1 - Low 1;3 - Low 3;7 - High 3
37;2 - Low 2;5 - High 1;5 - High 1;5 - High 1;4 - Low 4
38;3 - Low 3;8 - High 4;5 - High 1;2 - Low 2;1 - Low 1
39;8 - High 4;4 - Low 4;6 - High 2;7 - High 3;4 - Low 4
40;5 - High 1;1 - Low 1;6 - High 2;3 - Low 3;4 - Low 4
41;1 - Low 1;2 - Low 2;3 - Low 3;4 - Low 4;2 - Low 2
42;8 - High 4;6 - High 2;5 - High 1;7 - High 3;7 - High 3
43;1 - Low 1;7 - High 3;1 - Low 1;8 - High 4;6 - High 2
44;4 - Low 4;3 - Low 3;7 - High 3;3 - Low 3;7 - High 3
45;3 - Low 3;1 - Low 1;8 - High 4;5 - High 1;5 - High 1
46;6 - High 2;5 - High 1;8 - High 4;1 - Low 1;7 - High 3
47;6 - High 2;6 - High 2;5 - High 1;5 - High 1;2 - Low 2
48;1 - Low 1;6 - High 2;4 - Low 4;6 - High 2;6 - High 2
49;3 - Low 3;7 - High 3;3 - Low 3;1 - Low 1;1 - Low 1
50;8 - High 4;8 - High 4;4 - Low 4;2 - Low 2;2 - Low 2
51;2 - Low 2;8 - High 4;4 - Low 4;1 - Low 1;1 - Low 1
52;2 - Low 2;1 - Low 1;1 - Low 1;5 - High 1;4 - Low 4
53;2 - Low 2;4 - Low 4;1 - Low 1;2 - Low 2;5 - High 1
54;7 - High 3;3 - Low 3;4 - Low 4;3 - Low 3;6 - High 2
55;6 - High 2;1 - Low 1;7 - High 3;8 - High 4;5 - High 1
56;4 - Low 4;1 - Low 1;1 - Low 1;2 - Low 2;2 - Low 2
57;3 - Low 3;1 - Low 1;5 - High 1;4 - Low 4;7 - High 3
58;11 - SCATTER JP (FS);3 - Low 3;8 - High 4;2 - Low 2;2 - Low 2
59;5 - High 1;6 - High 2;5 - High 1;11 - SCATTER JP (FS);5 - High 1
60;1 - Low 1;7 - High 3;4 - Low 4;8 - High 4;1 - Low 1
61;6 - High 2;6 - High 2;3 - Low 3;3 - Low 3;11 - SCATTER JP (FS)
62;7 - High 3;1 - Low 1;2 - Low 2;3 - Low 3;5 - High 1
63;6 - High 2;7 - High 3;6 - High 2;1 - Low 1;5 - High 1
64;4 - Low 4;7 - High 3;1 - Low 1;1 - Low 1;7 - High 3
65;7 - High 3;5 - High 1;1 - Low 1;1 - Low 1;4 - Low 4
66;3 - Low 3;4 - Low 4;7 - High 3;1 - Low 1;8 - High 4
67;2 - Low 2;5 - High 1;4 - Low 4;5 - High 1;3 - Low 3
68;4 - Low 4;3 - Low 3;1 - Low 1;7 - High 3;8 - High 4
69;6 - High 2;3 - Low 3;6 - High 2;7 - High 3;1 - Low 1
