--- TABLA MATEMÁTICA JUEGO BASE ---
Symbol ID;Name;Count R1;Count R2;Count R3;Count R4;Count R5;Pays (3);Pays (4);Pays (5);Hits (3);Hits (4);Hits (5);Total Pay (3);Total Pay (4);Total Pay (5);Total EV;RTP Contribution %
1;Low 1;18;18;17;18;16;9;28;70;43623360;8228952;1586304;392610240;230410656;111041280;0.078773;7.8773%
2;Low 2;19;19;19;17;13;9;28;70;55002321;10027858;1515839;495020889;280780024;106108730;0.094638;9.4638%
3;Low 3;19;18;18;17;14;14;38;100;49364964;8895420;1465128;691109496;338025960;146512800;0.126159;12.6159%
4;Low 4;18;18;17;16;16;14;38;120;44713944;7314624;1410048;625995216;277955712;169205760;0.115161;11.5161%
5;High 1;7;7;8;8;9;20;60;250;3492720;282240;28224;69854400;16934400;7056000;0.010071;1.0071%
6;High 2;6;6;6;7;9;35;100;640;1945944;136080;13608;68108040;13608000;8709120;0.009704;0.9704%
7;High 3;5;5;6;7;10;35;100;640;1351350;93450;10500;47297250;9345000;6720000;0.006799;0.6799%
8;High 4;4;4;5;5;9;50;200;1600;736560;36000;3600;36828000;7200000;5760000;0.005343;0.5343%

TOTAL RTP BASE;;;;;;;;;;;;;;;;;44.6647%
