--- JUEGO BASE ---
Pos;R1 ID;R1 Name;R2 ID;R2 Name;R3 ID;R3 Name;R4 ID;R4 Name;R5 ID;R5 Name
0;4;Low 4;3;Low 3;2;Low 2;1;Low 1;2;Low 2
1;2;Low 2;3;Low 3;3;Low 3;1;Low 1;6;High 2
2;5;High 1;2;Low 2;1;Low 1;7;High 3;3;Low 3
3;2;Low 2;1;Low 1;6;High 2;1;Low 1;1;Low 1
4;1;Low 1;6;High 2;1;Low 1;3;Low 3;2;Low 2
5;7;High 3;3;Low 3;6;High 2;1;Low 1;1;Low 1
6;3;Low 3;1;Low 1;7;High 3;1;Low 1;1;Low 1
7;2;Low 2;4;Low 4;4;Low 4;3;Low 3;2;Low 2
8;1;Low 1;7;High 3;2;Low 2;1;Low 1;2;Low 2
9;4;Low 4;1;Low 1;2;Low 2;3;Low 3;7;High 3
10;3;Low 3;1;Low 1;2;Low 2;1;Low 1;2;Low 2
11;4;Low 4;4;Low 4;1;Low 1;3;Low 3;3;Low 3
12;2;Low 2;4;Low 4;2;Low 2;3;Low 3;1;Low 1
13;3;Low 3;1;Low 1;1;Low 1;4;Low 4;2;Low 2
14;4;Low 4;7;High 3;10;SCATTER;6;High 2;3;Low 3
15;1;Low 1;2;Low 2;1;Low 1;3;Low 3;3;Low 3
16;7;High 3;6;High 2;6;High 2;6;High 2;1;Low 1
17;6;High 2;6;High 2;7;High 3;4;Low 4;1;Low 1
18;2;Low 2;6;High 2;1;Low 1;1;Low 1;2;Low 2
19;2;Low 2;2;Low 2;1;Low 1;6;High 2;10;SCATTER
20;3;Low 3;2;Low 2;2;Low 2;3;Low 3;3;Low 3
21;4;Low 4;6;High 2;2;Low 2;2;Low 2;7;High 3
22;3;Low 3;1;Low 1;1;Low 1;1;Low 1;7;High 3
23;10;SCATTER;1;Low 1;3;Low 3;10;SCATTER;7;High 3
24;1;Low 1;2;Low 2;1;Low 1;1;Low 1;2;Low 2
25;4;Low 4;1;Low 1;3;Low 3;1;Low 1;2;Low 2
26;5;High 1;1;Low 1;7;High 3;3;Low 3;2;Low 2
27;7;High 3;2;Low 2;4;Low 4;3;Low 3;1;Low 1
28;3;Low 3;10;SCATTER;2;Low 2;1;Low 1;1;Low 1
29;1;Low 1;4;Low 4;1;Low 1;3;Low 3;3;Low 3
30;1;Low 1;6;High 2;4;Low 4;7;High 3;1;Low 1
31;6;High 2;3;Low 3;5;High 1;7;High 3;6;High 2
32;2;Low 2;10;SCATTER;4;Low 4;2;Low 2;2;Low 2
33;7;High 3;8;High 4;2;Low 2;1;Low 1;2;Low 2
34;2;Low 2;2;Low 2;5;High 1;1;Low 1;2;Low 2
35;3;Low 3;2;Low 2;1;Low 1;1;Low 1;2;Low 2
36;1;Low 1;4;Low 4;1;Low 1;1;Low 1;5;High 1
37;3;Low 3;1;Low 1;2;Low 2;7;High 3;7;High 3
38;1;Low 1;1;Low 1;1;Low 1;3;Low 3;2;Low 2
39;2;Low 2;5;High 1;6;High 2;1;Low 1;10;SCATTER
40;8;High 4;4;Low 4;1;Low 1;2;Low 2;2;Low 2
41;4;Low 4;6;High 2;7;High 3;3;Low 3;2;Low 2
42;2;Low 2;8;High 4;2;Low 2;2;Low 2;1;Low 1
43;1;Low 1;7;High 3;2;Low 2;1;Low 1;2;Low 2
44;10;SCATTER;7;High 3;7;High 3;6;High 2;2;Low 2
45;7;High 3;7;High 3;3;Low 3;2;Low 2;3;Low 3
46;1;Low 1;5;High 1;7;High 3;2;Low 2;2;Low 2
47;7;High 3;5;High 1;3;Low 3;10;SCATTER;3;Low 3
48;4;Low 4;2;Low 2;3;Low 3;3;Low 3;1;Low 1
49;1;Low 1;1;Low 1;2;Low 2;6;High 2;1;Low 1
50;6;High 2;4;Low 4;5;High 1;5;High 1;1;Low 1
51;2;Low 2;6;High 2;7;High 3;6;High 2;7;High 3
52;1;Low 1;2;Low 2;7;High 3;2;Low 2;3;Low 3
53;5;High 1;3;Low 3;6;High 2;3;Low 3;1;Low 1
54;3;Low 3;1;Low 1;1;Low 1;3;Low 3;1;Low 1
55;3;Low 3;5;High 1;2;Low 2;2;Low 2;1;Low 1
56;6;High 2;8;High 4;6;High 2;1;Low 1;7;High 3
57;3;Low 3;2;Low 2;10;SCATTER;1;Low 1;5;High 1
58;4;Low 4;6;High 2;1;Low 1;2;Low 2;2;Low 2
59;5;High 1;3;Low 3;1;Low 1;1;Low 1;2;Low 2
60;3;Low 3;1;Low 1;2;Low 2;7;High 3;7;High 3
61;4;Low 4;2;Low 2;3;Low 3;8;High 4;7;High 3
62;2;Low 2;1;Low 1;5;High 1;1;Low 1;7;High 3
63;1;Low 1;3;Low 3;8;High 4;1;Low 1;5;High 1
64;3;Low 3;4;Low 4;1;Low 1;7;High 3;6;High 2
65;4;Low 4;2;Low 2;5;High 1;5;High 1;1;Low 1
66;8;High 4;2;Low 2;3;Low 3;7;High 3;6;High 2
67;6;High 2;2;Low 2;3;Low 3;1;Low 1;1;Low 1
68;5;High 1;2;Low 2;6;High 2;2;Low 2;3;Low 3
69;6;High 2;2;Low 2;3;Low 3;2;Low 2;5;High 1
70;3;Low 3;5;High 1;1;Low 1;8;High 4;1;Low 1
71;1;Low 1;3;Low 3;3;Low 3;5;High 1;5;High 1
72;5;High 1;2;Low 2;1;Low 1;1;Low 1;2;Low 2
73;3;Low 3;2;Low 2;3;Low 3;3;Low 3;1;Low 1
74;1;Low 1;1;Low 1;1;Low 1;6;High 2;3;Low 3
75;3;Low 3;7;High 3;10;SCATTER;1;Low 1;3;Low 3
76;1;Low 1;3;Low 3;5;High 1;2;Low 2;3;Low 3
77;2;Low 2;7;High 3;3;Low 3;1;Low 1;2;Low 2
78;1;Low 1;7;High 3;3;Low 3;5;High 1;2;Low 2
79;3;Low 3;3;Low 3;1;Low 1;5;High 1;3;Low 3
80;4;Low 4;1;Low 1;8;High 4;5;High 1;1;Low 1
81;2;Low 2;10;SCATTER;4;Low 4;5;High 1;2;Low 2
82;3;Low 3;3;Low 3;1;Low 1;7;High 3;8;High 4
83;1;Low 1;7;High 3;4;Low 4;8;High 4;2;Low 2
84;6;High 2;1;Low 1;3;Low 3;1;Low 1;8;High 4
85;8;High 4;6;High 2;3;Low 3;4;Low 4;5;High 1
86;10;SCATTER;3;Low 3;5;High 1;3;Low 3;5;High 1
87;6;High 2;3;Low 3;4;Low 4;3;Low 3;10;SCATTER
88;2;Low 2;3;Low 3;1;Low 1;10;SCATTER;1;Low 1
89;5;High 1;5;High 1;4;Low 4;1;Low 1;6;High 2
90;1;Low 1;3;Low 3;1;Low 1;2;Low 2;8;High 4
91;2;Low 2;1;Low 1;8;High 4;1;Low 1;6;High 2
92;7;High 3;1;Low 1;4;Low 4;7;High 3;3;Low 3
93;6;High 2;5;High 1;7;High 3;3;Low 3;6;High 2
94;5;High 1;5;High 1;2;Low 2;3;Low 3;6;High 2
95;6;High 2;2;Low 2;2;Low 2;6;High 2;2;Low 2
