--- JUEGO BASE (Sin Wilds, con Scatter) ---
Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
0;1 - Low 1;2 - Low 2;1 - Low 1;2 - Low 2;3 - Low 3
1;4 - Low 4;4 - Low 4;10 - SCATTER (Base);4 - Low 4;6 - High 2
2;4 - Low 4;4 - Low 4;2 - Low 2;10 - SCATTER (Base);3 - Low 3
3;1 - Low 1;1 - Low 1;3 - Low 3;2 - Low 2;6 - High 2
4;4 - Low 4;1 - Low 1;1 - Low 1;8 - High 4;3 - Low 3
5;4 - Low 4;6 - High 2;6 - High 2;4 - Low 4;1 - Low 1
6;3 - Low 3;3 - Low 3;2 - Low 2;6 - High 2;8 - High 4
7;6 - High 2;4 - Low 4;4 - Low 4;3 - Low 3;4 - Low 4
8;4 - Low 4;5 - High 1;4 - Low 4;3 - Low 3;1 - Low 1
9;6 - High 2;1 - Low 1;3 - Low 3;3 - Low 3;8 - High 4
10;1 - Low 1;4 - Low 4;1 - Low 1;4 - Low 4;7 - High 3
11;3 - Low 3;6 - High 2;7 - High 3;3 - Low 3;4 - Low 4
12;5 - High 1;8 - High 4;4 - Low 4;5 - High 1;2 - Low 2
13;2 - Low 2;10 - SCATTER (Base);2 - Low 2;2 - Low 2;2 - Low 2
14;2 - Low 2;3 - Low 3;1 - Low 1;3 - Low 3;8 - High 4
15;3 - Low 3;6 - High 2;8 - High 4;4 - Low 4;3 - Low 3
16;3 - Low 3;8 - High 4;6 - High 2;4 - Low 4;7 - High 3
17;6 - High 2;7 - High 3;2 - Low 2;1 - Low 1;1 - Low 1
18;4 - Low 4;2 - Low 2;8 - High 4;1 - Low 1;1 - Low 1
19;2 - Low 2;4 - Low 4;2 - Low 2;4 - Low 4;6 - High 2
20;2 - Low 2;3 - Low 3;4 - Low 4;4 - Low 4;4 - Low 4
21;2 - Low 2;6 - High 2;7 - High 3;8 - High 4;10 - SCATTER (Base)
22;4 - Low 4;2 - Low 2;8 - High 4;1 - Low 1;3 - Low 3
23;7 - High 3;3 - Low 3;3 - Low 3;2 - Low 2;2 - Low 2
24;1 - Low 1;6 - High 2;1 - Low 1;3 - Low 3;2 - Low 2
25;3 - Low 3;1 - Low 1;1 - Low 1;3 - Low 3;5 - High 1
26;3 - Low 3;6 - High 2;2 - Low 2;5 - High 1;4 - Low 4
27;8 - High 4;1 - Low 1;3 - Low 3;2 - Low 2;1 - Low 1
28;2 - Low 2;8 - High 4;5 - High 1;5 - High 1;3 - Low 3
29;2 - Low 2;5 - High 1;1 - Low 1;1 - Low 1;4 - Low 4
30;7 - High 3;5 - High 1;6 - High 2;6 - High 2;3 - Low 3
31;1 - Low 1;2 - Low 2;1 - Low 1;4 - Low 4;3 - Low 3
32;4 - Low 4;4 - Low 4;5 - High 1;2 - Low 2;5 - High 1
33;2 - Low 2;1 - Low 1;3 - Low 3;1 - Low 1;10 - SCATTER (Base)
34;2 - Low 2;3 - Low 3;3 - Low 3;1 - Low 1;4 - Low 4
35;4 - Low 4;8 - High 4;2 - Low 2;1 - Low 1;8 - High 4
36;4 - Low 4;3 - Low 3;10 - SCATTER (Base);2 - Low 2;1 - Low 1
37;2 - Low 2;1 - Low 1;6 - High 2;7 - High 3;2 - Low 2
38;3 - Low 3;7 - High 3;2 - Low 2;7 - High 3;5 - High 1
39;4 - Low 4;2 - Low 2;3 - Low 3;3 - Low 3;7 - High 3
40;4 - Low 4;1 - Low 1;4 - Low 4;5 - High 1;5 - High 1
41;3 - Low 3;4 - Low 4;5 - High 1;1 - Low 1;2 - Low 2
42;1 - Low 1;7 - High 3;3 - Low 3;4 - Low 4;2 - Low 2
43;6 - High 2;5 - High 1;1 - Low 1;2 - Low 2;8 - High 4
44;7 - High 3;3 - Low 3;5 - High 1;1 - Low 1;8 - High 4
45;4 - Low 4;1 - Low 1;1 - Low 1;10 - SCATTER (Base);8 - High 4
46;2 - Low 2;4 - Low 4;2 - Low 2;2 - Low 2;4 - Low 4
47;8 - High 4;5 - High 1;1 - Low 1;3 - Low 3;7 - High 3
48;3 - Low 3;2 - Low 2;4 - Low 4;1 - Low 1;4 - Low 4
49;3 - Low 3;2 - Low 2;8 - High 4;4 - Low 4;3 - Low 3
50;3 - Low 3;3 - Low 3;2 - Low 2;2 - Low 2;6 - High 2
51;5 - High 1;4 - Low 4;4 - Low 4;1 - Low 1;1 - Low 1
52;5 - High 1;3 - Low 3;4 - Low 4;4 - Low 4;2 - Low 2
53;5 - High 1;4 - Low 4;2 - Low 2;5 - High 1;4 - Low 4
54;1 - Low 1;3 - Low 3;8 - High 4;3 - Low 3;10 - SCATTER (Base)
55;1 - Low 1;2 - Low 2;1 - Low 1;2 - Low 2;1 - Low 1
56;6 - High 2;1 - Low 1;2 - Low 2;6 - High 2;6 - High 2
57;1 - Low 1;4 - Low 4;4 - Low 4;10 - SCATTER (Base);3 - Low 3
58;3 - Low 3;2 - Low 2;5 - High 1;5 - High 1;4 - Low 4
59;1 - Low 1;7 - High 3;3 - Low 3;2 - Low 2;5 - High 1
60;1 - Low 1;4 - Low 4;3 - Low 3;6 - High 2;6 - High 2
61;4 - Low 4;2 - Low 2;4 - Low 4;2 - Low 2;6 - High 2
62;8 - High 4;4 - Low 4;2 - Low 2;7 - High 3;7 - High 3
63;1 - Low 1;2 - Low 2;7 - High 3;7 - High 3;3 - Low 3
64;7 - High 3;2 - Low 2;10 - SCATTER (Base);3 - Low 3;5 - High 1
65;10 - SCATTER (Base);3 - Low 3;2 - Low 2;1 - Low 1;5 - High 1
66;4 - Low 4;1 - Low 1;6 - High 2;3 - Low 3;6 - High 2
67;3 - Low 3;3 - Low 3;7 - High 3;1 - Low 1;2 - Low 2
