Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
0;1 - Low 1;2 - Low 2;2 - Low 2;6 - High 2 (Wild x2);3 - Low 3
1;2 - Low 2;2 - Low 2;2 - Low 2;1 - Low 1;4 - Low 4
2;2 - Low 2;7 - High 3 (Wild x2);3 - Low 3;9 - WILD BASE;3 - Low 3
3;5 - High 1 (Wild x1);3 - Low 3;5 - High 1 (Wild x1);1 - Low 1;4 - Low 4
4;10 - SCATTER;3 - Low 3;10 - SCATTER;3 - Low 3;9 - WILD BASE
5;7 - High 3 (Wild x2);8 - High 4 (Wild x3);8 - High 4 (Wild x3);6 - High 2 (Wild x2);2 - Low 2
6;3 - Low 3;5 - High 1 (Wild x1);4 - Low 4;7 - High 3 (Wild x2);2 - Low 2
7;4 - Low 4;8 - High 4 (Wild x3);5 - High 1 (Wild x1);8 - High 4 (Wild x3);5 - High 1 (Wild x1)
8;1 - Low 1;1 - Low 1;3 - Low 3;10 - SCATTER;2 - Low 2
9;2 - Low 2;4 - Low 4;7 - High 3 (Wild x2);2 - Low 2;7 - High 3 (Wild x2)
10;4 - Low 4;4 - Low 4;1 - Low 1;1 - Low 1;7 - High 3 (Wild x2)
11;6 - High 2 (Wild x2);8 - High 4 (Wild x3);4 - Low 4;1 - Low 1;1 - Low 1
12;4 - Low 4;2 - Low 2;3 - Low 3;7 - High 3 (Wild x2);4 - Low 4
13;9 - WILD BASE;2 - Low 2;3 - Low 3;1 - Low 1;6 - High 2 (Wild x2)
14;7 - High 3 (Wild x2);3 - Low 3;4 - Low 4;1 - Low 1;8 - High 4 (Wild x3)
15;1 - Low 1;10 - SCATTER;9 - WILD BASE;2 - Low 2;4 - Low 4
16;4 - Low 4;1 - Low 1;6 - High 2 (Wild x2);2 - Low 2;2 - Low 2
17;4 - Low 4;4 - Low 4;1 - Low 1;9 - WILD BASE;3 - Low 3
18;7 - High 3 (Wild x2);1 - Low 1;2 - Low 2;9 - WILD BASE;4 - Low 4
19;7 - High 3 (Wild x2);7 - High 3 (Wild x2);1 - Low 1;4 - Low 4;2 - Low 2
20;3 - Low 3;3 - Low 3;3 - Low 3;2 - Low 2;4 - Low 4
21;1 - Low 1;7 - High 3 (Wild x2);2 - Low 2;7 - High 3 (Wild x2);10 - SCATTER
22;3 - Low 3;4 - Low 4;3 - Low 3;3 - Low 3;2 - Low 2
23;2 - Low 2;3 - Low 3;6 - High 2 (Wild x2);6 - High 2 (Wild x2);8 - High 4 (Wild x3)
24;6 - High 2 (Wild x2);1 - Low 1;4 - Low 4;8 - High 4 (Wild x3);2 - Low 2
25;5 - High 1 (Wild x1);6 - High 2 (Wild x2);5 - High 1 (Wild x1);4 - Low 4;8 - High 4 (Wild x3)
26;4 - Low 4;2 - Low 2;4 - Low 4;4 - Low 4;2 - Low 2
27;3 - Low 3;3 - Low 3;2 - Low 2;10 - SCATTER;3 - Low 3
28;9 - WILD BASE;6 - High 2 (Wild x2);3 - Low 3;8 - High 4 (Wild x3);5 - High 1 (Wild x1)
29;5 - High 1 (Wild x1);2 - Low 2;1 - Low 1;4 - Low 4;1 - Low 1
30;1 - Low 1;5 - High 1 (Wild x1);1 - Low 1;1 - Low 1;1 - Low 1
31;2 - Low 2;2 - Low 2;7 - High 3 (Wild x2);4 - Low 4;1 - Low 1
32;3 - Low 3;9 - WILD BASE;9 - WILD BASE;5 - High 1 (Wild x1);3 - Low 3
33;4 - Low 4;4 - Low 4;5 - High 1 (Wild x1);2 - Low 2;9 - WILD BASE
34;4 - Low 4;4 - Low 4;10 - SCATTER;9 - WILD BASE;2 - Low 2
35;1 - Low 1;1 - Low 1;2 - Low 2;5 - High 1 (Wild x1);6 - High 2 (Wild x2)
36;3 - Low 3;4 - Low 4;4 - Low 4;1 - Low 1;9 - WILD BASE
37;2 - Low 2;5 - High 1 (Wild x1);3 - Low 3;3 - Low 3;5 - High 1 (Wild x1)
38;8 - High 4 (Wild x3);1 - Low 1;2 - Low 2;4 - Low 4;3 - Low 3
39;1 - Low 1;1 - Low 1;1 - Low 1;3 - Low 3;2 - Low 2
40;2 - Low 2;2 - Low 2;4 - Low 4;3 - Low 3;3 - Low 3
41;6 - High 2 (Wild x2);2 - Low 2;4 - Low 4;3 - Low 3;8 - High 4 (Wild x3)
42;3 - Low 3;1 - Low 1;2 - Low 2;8 - High 4 (Wild x3);5 - High 1 (Wild x1)
43;5 - High 1 (Wild x1);1 - Low 1;4 - Low 4;2 - Low 2;1 - Low 1
44;3 - Low 3;3 - Low 3;1 - Low 1;5 - High 1 (Wild x1);7 - High 3 (Wild x2)
45;10 - SCATTER;10 - SCATTER;9 - WILD BASE;1 - Low 1;6 - High 2 (Wild x2)
46;2 - Low 2;4 - Low 4;8 - High 4 (Wild x3);3 - Low 3;10 - SCATTER
47;8 - High 4 (Wild x3);10 - SCATTER;6 - High 2 (Wild x2);5 - High 1 (Wild x1);1 - Low 1
48;6 - High 2 (Wild x2);2 - Low 2;1 - Low 1;9 - WILD BASE;3 - Low 3
49;2 - Low 2;3 - Low 3;3 - Low 3;1 - Low 1;1 - Low 1
50;8 - High 4 (Wild x3);1 - Low 1;7 - High 3 (Wild x2);2 - Low 2;5 - High 1 (Wild x1)
51;1 - Low 1;6 - High 2 (Wild x2);3 - Low 3;6 - High 2 (Wild x2);7 - High 3 (Wild x2)
52;1 - Low 1;9 - WILD BASE;7 - High 3 (Wild x2);2 - Low 2;1 - Low 1
53;3 - Low 3;2 - Low 2;9 - WILD BASE;4 - Low 4;7 - High 3 (Wild x2)
54;1 - Low 1;1 - Low 1;1 - Low 1;3 - Low 3;3 - Low 3
55;4 - Low 4;3 - Low 3;8 - High 4 (Wild x3);4 - Low 4;1 - Low 1
56;2 - Low 2;5 - High 1 (Wild x1);1 - Low 1;6 - High 2 (Wild x2);4 - Low 4
57;5 - High 1 (Wild x1);5 - High 1 (Wild x1);6 - High 2 (Wild x2);2 - Low 2;6 - High 2 (Wild x2)
58;;6 - High 2 (Wild x2);2 - Low 2;5 - High 1 (Wild x1);6 - High 2 (Wild x2)
59;;3 - Low 3;4 - Low 4;4 - Low 4;9 - WILD BASE
60;;4 - Low 4;2 - Low 2;3 - Low 3;4 - Low 4
61;;4 - Low 4;2 - Low 2;7 - High 3 (Wild x2);8 - High 4 (Wild x3)
62;;;5 - High 1 (Wild x1);2 - Low 2;4 - Low 4
63;;;1 - Low 1;;1 - Low 1
64;;;6 - High 2 (Wild x2);;9 - WILD BASE
